Time,Current Command
"Instant { tv_sec: 1774666, tv_nsec: 690744802 }",1.5
"Instant { tv_sec: 1774666, tv_nsec: 695814670 }",1.5
"Instant { tv_sec: 1774669, tv_nsec: 698013010 }",-1.5
"Instant { tv_sec: 1774672, tv_nsec: 705624551 }",1.5
"Instant { tv_sec: 1774675, tv_nsec: 697326574 }",-1.5
"Instant { tv_sec: 1774678, tv_nsec: 704545741 }",1.5
"Instant { tv_sec: 1774681, tv_nsec: 696434318 }",-1.5
"Instant { tv_sec: 1774684, tv_nsec: 704224187 }",1.5
"Instant { tv_sec: 1774687, tv_nsec: 695410670 }",-1.5
"Instant { tv_sec: 1774690, tv_nsec: 703259457 }",1.5
"Instant { tv_sec: 1774693, tv_nsec: 694578220 }",-1.5
"Instant { tv_sec: 1774696, tv_nsec: 701767533 }",1.5
"Instant { tv_sec: 1774699, tv_nsec: 693396361 }",-1.5
"Instant { tv_sec: 1774702, tv_nsec: 701443078 }",1.5
"Instant { tv_sec: 1774705, tv_nsec: 708576919 }",-1.5
"Instant { tv_sec: 1774708, tv_nsec: 700780145 }",1.5
